"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.71124551070624,0.809,0.143,0,"TUBA1A+ ductal cell","GC"
0,2.59821441228408,0.822,0.179,0,"TUBA1A+ ductal cell","GPC6"
0,3.16165835921864,0.888,0.245,0,"TUBA1A+ ductal cell","HS6ST3"
0,3.72276585138641,0.934,0.331,0,"TUBA1A+ ductal cell","VGF"
0,2.35100120346078,0.859,0.271,0,"TUBA1A+ ductal cell","RGS7"
0,2.84843544553868,0.893,0.317,0,"TUBA1A+ ductal cell","PCSK2"
0,2.66027468042542,0.911,0.377,0,"TUBA1A+ ductal cell","CACNB2"
0,3.35786921996091,0.792,0.26,0,"TUBA1A+ ductal cell","TM4SF4"
0,2.17126215275358,0.981,0.702,0,"TUBA1A+ ductal cell","CHGB"
0,2.17830919965558,0.964,0.693,0,"TUBA1A+ ductal cell","CLU"
0,2.72689555723282,1,0.997,0,"TUBA1A+ ductal cell","TTR"
0,3.53351840879083,0.999,0.998,0,"TUBA1A+ ductal cell","GCG"
4.05133829589822e-322,3.25702269200121,0.649,0.092,1.35873783767835e-317,"TUBA1A+ ductal cell","F10"
2.33801744924995e-319,2.86647587529888,0.83,0.342,7.84124292129447e-315,"TUBA1A+ ductal cell","SLC7A2"
1.6608453037826e-309,1.85613494889521,0.926,0.503,5.5701429798261e-305,"TUBA1A+ ductal cell","CHGA"
1.9208361725128e-308,2.43555722418725,0.826,0.328,6.44210035537344e-304,"TUBA1A+ ductal cell","TMEM176B"
4.70095609827096e-304,1.53068171782559,0.99,0.7,1.57660665625906e-299,"TUBA1A+ ductal cell","SCG5"
7.26252953428361e-302,3.69066205079686,0.586,0.067,2.43570715520791e-297,"TUBA1A+ ductal cell","FSTL5"
8.97278399083924e-296,3.32357749609745,0.694,0.164,3.00929229484767e-291,"TUBA1A+ ductal cell","PDE3B"
4.10380078438129e-290,3.62937808799296,0.561,0.06,1.3763327070658e-285,"TUBA1A+ ductal cell","PAPPA2"
1.89161039470876e-289,2.42835482217646,0.821,0.34,6.34408294177423e-285,"TUBA1A+ ductal cell","PAK3"
3.15308912389147e-280,2.89189350670376,0.786,0.295,1.05748303037072e-275,"TUBA1A+ ductal cell","PALLD"
