gene	Acniar cell 	Alpha cell	Beta cell	Delta cell	EndoMT cell	Endothelial cell	Fibroblast	Glial cell	Macrophage	PP cell	Perivascular cell	TFF1+ ductal cell	TUBA1A+ ductal cell
A1CF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A2M	0.0	0.0	0.0	0.5404730149487915	0.0	0.0	1.0	0.0	0.6485185546813955	0.0	0.538387333375797	0.0	0.0
A4GALT	0.0	0.0	0.0	0.7970784906143696	1.0	0.47251184076746255	0.0	0.0	0.830285313536198	0.0	0.4319471647972109	0.0	0.0
AADAC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AATBC	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AATK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ABCA1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5698339927170186	0.0	0.0
ABCA10	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ABCA13	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ABCA6	0.0	0.5063442130497988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ABCA9	0.0	0.7732744206786826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ABCA9-AS1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ABCB10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ABCB4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ABCC3	0.0	0.0	0.0	0.0	0.0	0.9498669319408154	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ABCC4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ABCC5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC8	0.0	1.0	0.5735781237967492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC9	0.0	0.0	0.3059115032020716	1.0	0.0	0.0	0.0	0.0	0.0	0.6609203352902706	0.0	0.0	0.0
ABCD2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ABCD4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ABCG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ABCG2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
