gene	Acniar cell 	Alpha cell	Beta cell	Delta cell	EndoMT cell	Endothelial cell	Fibroblast	Glial cell	Macrophage	PP cell	Perivascular cell	TFF1+ ductal cell	TUBA1A+ ductal cell
A4GALT	0.0	0.0	0.0	0.7970784906143696	1.0	0.47251184076746255	0.0	0.0	0.830285313536198	0.0	0.4319471647972109	0.0	0.0
ACR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ADA2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ADM2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ADORA2A-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AP1B1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
APOBEC3B	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5113375736870535	0.0	0.0	0.0	0.0	0.0
APOBEC3C	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.7224242358174171	0.0	0.0
APOL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43294243775001673	0.0	0.6110521326723546	1.0	0.0
APOL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
APOL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5667591393325516	0.0	0.0
APOL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ARHGAP8	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARSA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ARVCF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ATF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ATP6V1E1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BAIAP2L2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
BID	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.8559918389115574	0.0	0.0	0.0	0.0
BIK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22561794735943358	0.0	0.0	0.0	1.0	0.0
BPIFC	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C22orf34	0.0	0.0	0.0	0.0	0.0	0.0	0.35159552321479465	0.0	1.0	0.0	0.0	0.0	0.0
C22orf42	0.0	1.0	0.9691579605147695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CABP7	0.0	1.0	0.8256004503918892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CACNA1I	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CARD10	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASTOR1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
CBX6	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDC42EP1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.4483463420701368	0.6206496799002841	0.0	0.0	0.0	0.0
CECR2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CERK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
CHEK2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLDN5	0.0	0.0	0.0	0.0	0.3327243841468137	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
